Title,Price,Address,Beds
"848 N Winchester Ave Unit Garden, Chicago, IL","$2,200","848 N Winchester Ave Unit Garden, Chicago, IL",2 Bed
"222 Columbus N Dr Unit 2105, Chicago, IL","$2,600","222 Columbus N Dr Unit 2105, Chicago, IL",Condo for Rent
"2631 W Luther St Unit 1, Chicago, IL","$1,495","2631 W Luther St Unit 1, Chicago, IL",1 Bed
"30 Huron E St Unit 5510, Chicago, IL","$2,000","30 Huron E St Unit 5510, Chicago, IL",Condo for Rent
"2704 W 24th Pl Unit 1F, Chicago, IL","$1,450","2704 W 24th Pl Unit 1F, Chicago, IL",2 Bed
"2704 W 24th Pl Unit 1, Chicago, IL","$1,200","2704 W 24th Pl Unit 1, Chicago, IL",2 Bed
"1611 W Division St Unit 1, Chicago, IL","$2,695","1611 W Division St Unit 1, Chicago, IL",2 Bed
"757 Wabash N Ave Unit 2-2, Chicago, IL","$3,475","757 Wabash N Ave Unit 2-2, Chicago, IL",2 Bed
"211 E Ohio St Unit 1007, Chicago, IL","$1,800","211 E Ohio St Unit 1007, Chicago, IL",Condo for Rent
"211 E Ohio St Unit 2612, Chicago, IL","$1,800","211 E Ohio St Unit 2612, Chicago, IL",Studio
"211 E Ohio St Unit 819, Chicago, IL","$2,000","211 E Ohio St Unit 819, Chicago, IL",Condo for Rent
"211 Ohio E St Unit 1109, Chicago, IL","$1,850","211 Ohio E St Unit 1109, Chicago, IL",Condo for Rent
"313 Albany S Ave Unit 2, Chicago, IL","$1,225","313 Albany S Ave Unit 2, Chicago, IL",2 Bed
"313 Albany S Ave Unit 1, Chicago, IL","$1,175","313 Albany S Ave Unit 1, Chicago, IL",2 Bed
"420 Waterside E Dr Unit 304, Chicago, IL","$1,700","420 Waterside E Dr Unit 304, Chicago, IL",Condo for Rent
"195 N Harbor Dr Unit 2001, Chicago, IL","$2,900","195 N Harbor Dr Unit 2001, Chicago, IL",Condo for Rent
"401 E Ontario St Unit 1606, Chicago, IL","$2,050","401 E Ontario St Unit 1606, Chicago, IL",1 Bed
"1368 W Evergreen Ave Unit 4M, Chicago, IL","$2,250","1368 W Evergreen Ave Unit 4M, Chicago, IL",2 Bed
"441 Ohio E St Unit 1, Chicago, IL","$1,676","441 Ohio E St Unit 1, Chicago, IL",1 Bed
"1122 Clark N St Unit 3307, Chicago, IL","$1,650","1122 Clark N St Unit 3307, Chicago, IL",Condo for Rent
"474 N Lake Shore Dr Unit 2207, Chicago, IL","$1,600","474 N Lake Shore Dr Unit 2207, Chicago, IL",Studio
"343 W Old Town Ct Unit 309, Chicago, IL","$2,875","343 W Old Town Ct Unit 309, Chicago, IL",2 Bed
"1124 N Dearborn St Unit 1, Chicago, IL","$1,700","1124 N Dearborn St Unit 1, Chicago, IL",1 Bed
"175 E Delaware Pl Unit 5106, Chicago, IL","$1,560","175 E Delaware Pl Unit 5106, Chicago, IL",Studio
"100 Walton E St Unit 17 G, Chicago, IL","$1,900","100 Walton E St Unit 17 G, Chicago, IL",Condo for Rent
"871 W Blackhawk St Unit 2-2, Chicago, IL","$2,955","871 W Blackhawk St Unit 2-2, Chicago, IL",2 Bed
"2540 Augusta W Blvd Unit 1F, Chicago, IL","$1,700","2540 Augusta W Blvd Unit 1F, Chicago, IL",2 Bed
"1220 N LaSalle St Unit K4, Chicago, IL","$1,495","1220 N LaSalle St Unit K4, Chicago, IL",Studio
"1220 N LaSalle Dr Unit G2, Chicago, IL","$1,425","1220 N LaSalle Dr Unit G2, Chicago, IL",Studio
"219 E Chestnut St Unit 1/1 u, Chicago, IL","$1,835","219 E Chestnut St Unit 1/1 u, Chicago, IL",1 Bed
"219 E Chestnut St Unit 1, Chicago, IL","$1,830","219 E Chestnut St Unit 1, Chicago, IL",1 Bed
"1164 N Dearborn St Unit 210, Chicago, IL","$1,175","1164 N Dearborn St Unit 210, Chicago, IL",Studio
"2048 Evergreen W Ave Unit 2, Chicago, IL","$3,100","2048 Evergreen W Ave Unit 2, Chicago, IL",Condo for Rent
"2048 Evergreen W Ave Unit 1, Chicago, IL","$2,300","2048 Evergreen W Ave Unit 1, Chicago, IL",1 Bed
"65 Cedar E St Unit 2B, Chicago, IL","$1,400","65 Cedar E St Unit 2B, Chicago, IL",Condo for Rent
"834 California N Ave Unit Apt 1, Chicago, IL","$1,800","834 California N Ave Unit Apt 1, Chicago, IL",2 Bed
"1220 N Dearborn St Unit 3, Chicago, IL","$1,950","1220 N Dearborn St Unit 3, Chicago, IL",2 Bed
"329 Schiller W St, Chicago, IL","$6,200","329 Schiller W St, Chicago, IL",Townhome for Rent
"329 Schiller W St, Chicago, IL","$6,000","329 Schiller W St, Chicago, IL",Townhome for Rent
"30 E Elm St Unit 12E, Chicago, IL","$1,835","30 E Elm St Unit 12E, Chicago, IL",1 Bed
"1221 N Dearborn St Unit 404N, Chicago, IL","$2,350","1221 N Dearborn St Unit 404N, Chicago, IL",Condo for Rent
"1612 Le Moyne W St Unit 3, Chicago, IL","$1,800","1612 Le Moyne W St Unit 3, Chicago, IL",2 Bed
"1255 N Sandburg Terrace Unit 1210, Chicago, IL","$2,000","1255 N Sandburg Terrace Unit 1210, Chicago, IL",Condo for Rent
"30 E Division St Unit 11a, Chicago, IL","$1,700","30 E Division St Unit 11a, Chicago, IL",Condo for Rent
"1645 Pierce W Ave Unit 1, Chicago, IL","$2,195","1645 Pierce W Ave Unit 1, Chicago, IL",2 Bed
"1150 Lake Shore N Dr Unit 5L, Chicago, IL","$1,450","1150 Lake Shore N Dr Unit 5L, Chicago, IL",Condo for Rent
"1502 Cleveland N Ave Unit #2, Chicago, IL","$1,750","1502 Cleveland N Ave Unit #2, Chicago, IL",1 Bed
"1441 N Elk Grove Ave Unit 3R, Chicago, IL","$1,650","1441 N Elk Grove Ave Unit 3R, Chicago, IL",Condo for Rent
"1519 N Milwaukee Ave Unit 1, Chicago, IL","$3,025","1519 N Milwaukee Ave Unit 1, Chicago, IL",2 Bed
"1307 N Artesian Ave Unit 2, Chicago, IL","$2,095","1307 N Artesian Ave Unit 2, Chicago, IL",2 Bed
"1523 N Elk Grove Ave Unit 3, Chicago, IL","$2,300","1523 N Elk Grove Ave Unit 3, Chicago, IL",3 Bed
"1344 Dearborn N St Unit 4D, Chicago, IL","$1,540","1344 Dearborn N St Unit 4D, Chicago, IL",Condo for Rent
"1017 N Mozart St Unit #2, Chicago, IL","$1,850","1017 N Mozart St Unit #2, Chicago, IL",3 Bed
"1347 N Dearborn Pkwy Unit 302, Chicago, IL","$1,320","1347 N Dearborn Pkwy Unit 302, Chicago, IL",Studio
"915 S Loomis St Unit 1, Chicago, IL","$1,550","915 S Loomis St Unit 1, Chicago, IL",2 Bed
"1455 W Taylor St Unit 3, Chicago, IL","$3,400","1455 W Taylor St Unit 3, Chicago, IL",4 Bed
"929 S Laflin St Unit 1, Chicago, IL","$2,275","929 S Laflin St Unit 1, Chicago, IL",3 Bed
"1013 Laflin S St Unit 2, Chicago, IL","$1,700","1013 Laflin S St Unit 2, Chicago, IL",2 Bed
"708 S Laflin St Unit 1F, Chicago, IL","$1,800","708 S Laflin St Unit 1F, Chicago, IL",2 Bed
"706 S Laflin St Unit 2R, Chicago, IL","$1,900","706 S Laflin St Unit 2R, Chicago, IL",2 Bed
"902 S Ashland Ave Unit 0s, Chicago, IL","$1,595","902 S Ashland Ave Unit 0s, Chicago, IL",Studio
"902 S Ashland Ave Unit 1j, Chicago, IL","$1,737","902 S Ashland Ave Unit 1j, Chicago, IL",1 Bed
"902 S Ashland Ave Unit 1s, Chicago, IL","$1,730","902 S Ashland Ave Unit 1s, Chicago, IL",1 Bed
"1224 W Van Buren St Unit 212, Chicago, IL","$3,000","1224 W Van Buren St Unit 212, Chicago, IL",Condo for Rent
"1101 W Jackson Blvd Unit S1, Chicago, IL","$1,760","1101 W Jackson Blvd Unit S1, Chicago, IL",Studio
"1019 W Jackson Blvd Unit 03k, Chicago, IL","$3,200","1019 W Jackson Blvd Unit 03k, Chicago, IL",Condo for Rent
"948 15th W Pl Unit 2B, Chicago, IL","$2,400","948 15th W Pl Unit 2B, Chicago, IL",Condo for Rent
"910 W Jackson Blvd Unit 1301, Chicago, IL","$2,374","910 W Jackson Blvd Unit 1301, Chicago, IL",1 Bed
"816 W Van Buren St Unit 161, Chicago, IL","$3,200","816 W Van Buren St Unit 161, Chicago, IL",2 Bed
"521 N Racine Ave Unit 1, Chicago, IL","$2,400","521 N Racine Ave Unit 1, Chicago, IL",Condo for Rent
"1722 W Hastings St Unit 3, Chicago, IL","$2,100","1722 W Hastings St Unit 3, Chicago, IL",Condo for Rent
"1722 W Hastings St Unit 3, Chicago, IL","$2,000","1722 W Hastings St Unit 3, Chicago, IL",Condo for Rent
"901 W Adams St Unit 818, Chicago, IL","$2,319","901 W Adams St Unit 818, Chicago, IL",1 Bed
"1623 S Loomis St Unit 2, Chicago, IL","$1,875","1623 S Loomis St Unit 2, Chicago, IL",2 Bed
"1244 W Monroe St Unit 10F, Chicago, IL","$3,200","1244 W Monroe St Unit 10F, Chicago, IL",Condo for Rent
"1137 W 17th St Unit 1, Chicago, IL","$2,800","1137 W 17th St Unit 1, Chicago, IL",4 Bed
"732 W 15th Pl Unit 1, Chicago, IL","$2,850","732 W 15th Pl Unit 1, Chicago, IL",2 Bed
"1615 S Morgan St Unit 1R, Chicago, IL","$1,500","1615 S Morgan St Unit 1R, Chicago, IL",2 Bed
"1946 S Racine Ave Unit 4F, Chicago, IL","$2,395","1946 S Racine Ave Unit 4F, Chicago, IL",3 Bed
"26 S Aberdeen St Unit 1, Chicago, IL","$4,600","26 S Aberdeen St Unit 1, Chicago, IL",Condo for Rent
"233 S Halsted St Unit 98-3301, Chicago, IL","$5,492","233 S Halsted St Unit 98-3301, Chicago, IL",3 Bed
"1515 S Halsted St Unit 205, Chicago, IL","$1,799","1515 S Halsted St Unit 205, Chicago, IL",Condo for Rent
"1509 S Halsted St Unit 306, Chicago, IL","$1,750","1509 S Halsted St Unit 306, Chicago, IL",Condo for Rent
"1219 W Madison St Unit 1050, Chicago, IL","$3,350","1219 W Madison St Unit 1050, Chicago, IL",2 Bed
"200 S Halsted St Unit 2008, Chicago, IL","$1,837","200 S Halsted St Unit 2008, Chicago, IL",Studio
"1131 W Madison St Unit 1, Chicago, IL","$1,975","1131 W Madison St Unit 1, Chicago, IL",1 Bed
"835 S Wolcott Ave Unit 4, Chicago, IL","$3,200","835 S Wolcott Ave Unit 4, Chicago, IL",3 Bed
"700 W Van Buren St Unit PH-03, Chicago, IL","$3,000","700 W Van Buren St Unit PH-03, Chicago, IL",Condo for Rent
"1819 S Allport St Unit 1R, Chicago, IL","$1,400","1819 S Allport St Unit 1R, Chicago, IL",2 Bed
"333 S Desplaines St Unit #412, Chicago, IL","$2,400","333 S Desplaines St Unit #412, Chicago, IL",Condo for Rent
"1838 S May St Unit 2F, Chicago, IL","$1,250","1838 S May St Unit 2F, Chicago, IL",2 Bed
"210 S Desplaines St Unit 15044, Chicago, IL","$2,100","210 S Desplaines St Unit 15044, Chicago, IL",Condo for Rent
"113 S Paulina St Unit 3, Chicago, IL","$1,775","113 S Paulina St Unit 3, Chicago, IL",2 Bed
"113 S Paulina St Unit 2, Chicago, IL","$1,800","113 S Paulina St Unit 2, Chicago, IL",3 Bed
"1807 S Ashland Ave Unit 1, Chicago, IL","$2,000","1807 S Ashland Ave Unit 1, Chicago, IL",3 Bed
"1260 W Washington Blvd Unit 602, Chicago, IL","$2,490","1260 W Washington Blvd Unit 602, Chicago, IL",1 Bed
"935 W Washington Blvd Unit 1s, Chicago, IL","$2,320","935 W Washington Blvd Unit 1s, Chicago, IL",1 Bed
"935 W Washington Blvd Unit 0s, Chicago, IL","$1,990","935 W Washington Blvd Unit 0s, Chicago, IL",Studio
"917 W Washington Blvd Unit 405, Chicago, IL","$2,640","917 W Washington Blvd Unit 405, Chicago, IL",1 Bed
"2022 S Throop St Unit 1W, Chicago, IL","$1,925","2022 S Throop St Unit 1W, Chicago, IL",2 Bed
"1923 S Peoria St Unit 1R, Chicago, IL","$1,150","1923 S Peoria St Unit 1R, Chicago, IL",2 Bed
"1527 W Cullerton St Unit 2, Chicago, IL","$1,650","1527 W Cullerton St Unit 2, Chicago, IL",3 Bed
"1820 W 18th St Unit 3, Chicago, IL","$1,895","1820 W 18th St Unit 3, Chicago, IL",3 Bed
"130 S Canal St Unit 804!, Chicago, IL","$3,300","130 S Canal St Unit 804!, Chicago, IL",Condo for Rent
"2109 W Polk St Unit 02, Chicago, IL","$2,200","2109 W Polk St Unit 02, Chicago, IL",Condo for Rent
"200 N Ada St Unit 13, Chicago, IL","$2,510","200 N Ada St Unit 13, Chicago, IL",1 Bed
"600 W Madison St Unit 1003, Chicago, IL","$2,045","600 W Madison St Unit 1003, Chicago, IL",Studio
"600 W Madison St Unit 913, Chicago, IL","$2,665","600 W Madison St Unit 913, Chicago, IL",1 Bed
"562 W 18th St Unit 1W, Chicago, IL","$3,300","562 W 18th St Unit 1W, Chicago, IL",Condo for Rent
"562 W 18th St Unit 3E, Chicago, IL","$3,900","562 W 18th St Unit 3E, Chicago, IL",Condo for Rent
"912 W Lake St Unit 05-B, Chicago, IL","$2,305","912 W Lake St Unit 05-B, Chicago, IL",Condo for Rent
"659 W Randolph St Unit #411, Chicago, IL","$2,250","659 W Randolph St Unit #411, Chicago, IL",Condo for Rent
"817 W Lake St Unit 120, Chicago, IL","$2,428","817 W Lake St Unit 120, Chicago, IL",1 Bed
"817 W Lake St Unit 120, Chicago, IL","$4,398","817 W Lake St Unit 120, Chicago, IL",3 Bed
"1837 S Canalport Ave Unit 3W, Chicago, IL","$4,200","1837 S Canalport Ave Unit 3W, Chicago, IL",Condo for Rent
"100 N Hermitage Ave Unit 915, Chicago, IL","$1,600","100 N Hermitage Ave Unit 915, Chicago, IL",Condo for Rent
"2111 S Halsted St Unit 406, Chicago, IL","$2,475","2111 S Halsted St Unit 406, Chicago, IL",Condo for Rent
"801 S Wells St Unit 1011, Chicago, IL","$2,700","801 S Wells St Unit 1011, Chicago, IL",1 Bed
"235 Van Buren W St Unit 3619, Chicago, IL","$2,400","235 Van Buren W St Unit 3619, Chicago, IL",2 Bed
"1138 S Delano Ct Unit 411, Chicago, IL","$2,699","1138 S Delano Ct Unit 411, Chicago, IL",2 Bed
"834 W Fulton Market Unit 120, Chicago, IL","$2,496","834 W Fulton Market Unit 120, Chicago, IL",1 Bed
"2223 W Polk St Unit 2, Chicago, IL","$3,000","2223 W Polk St Unit 2, Chicago, IL",Condo for Rent
"2225 Polk W St Unit 2, Chicago, IL","$3,000","2225 Polk W St Unit 2, Chicago, IL",Condo for Rent
"501 S Wells St Unit 1716, Chicago, IL","$1,703","501 S Wells St Unit 1716, Chicago, IL",1 Bed
"2200 Harrison W St Unit 813, Chicago, IL","$1,500","2200 Harrison W St Unit 813, Chicago, IL",Condo for Rent
"150 N Clinton St Unit 137, Chicago, IL","$2,317","150 N Clinton St Unit 137, Chicago, IL",1 Bed
"150 N Clinton St Unit 137, Chicago, IL","$1,865","150 N Clinton St Unit 137, Chicago, IL",Studio
"1154 S Clark St Unit 1514, Chicago, IL","$1,950","1154 S Clark St Unit 1514, Chicago, IL",1 Bed
"2002 W Warren Blvd Unit 5SE, Chicago, IL","$1,950","2002 W Warren Blvd Unit 5SE, Chicago, IL",2 Bed
"2000 W Warren Blvd Unit 5SW, Chicago, IL","$2,150","2000 W Warren Blvd Unit 5SW, Chicago, IL",Condo for Rent
"2109 W 18th St Unit 1, Chicago, IL","$1,199","2109 W 18th St Unit 1, Chicago, IL",1 Bed
"161 N Canal St Unit 3501, Chicago, IL","$2,935","161 N Canal St Unit 3501, Chicago, IL",2 Bed
"616 W Fulton St Unit 404F, Chicago, IL","$2,500","616 W Fulton St Unit 404F, Chicago, IL",Condo for Rent
"820 S Park Terrace Unit 302, Chicago, IL","$1,936","820 S Park Terrace Unit 302, Chicago, IL",1 Bed
"811 S Claremont Ave Unit 3, Chicago, IL","$2,295","811 S Claremont Ave Unit 3, Chicago, IL",3 Bed
"1340 W Hubbard St Unit 1, Chicago, IL","$1,900","1340 W Hubbard St Unit 1, Chicago, IL",2 Bed
"2047 N Hoyne Ave Unit 2RS, Chicago, IL","$1,650","2047 N Hoyne Ave Unit 2RS, Chicago, IL",Studio
"370 N Desplaines St Unit 6, Chicago, IL","$1,958","370 N Desplaines St Unit 6, Chicago, IL",1 Bed
"447 N Carpenter St Unit 2R, Chicago, IL","$1,925","447 N Carpenter St Unit 2R, Chicago, IL",1 Bed
"2056 W Cullerton St Unit 2, Chicago, IL","$1,850","2056 W Cullerton St Unit 2, Chicago, IL",4 Bed
"225 N Canal St Unit 1, Chicago, IL","$1,860","225 N Canal St Unit 1, Chicago, IL",Studio
"225 N Canal St Unit 1, Chicago, IL","$2,250","225 N Canal St Unit 1, Chicago, IL",1 Bed
"410 N Milwaukee Ave Unit 501, Chicago, IL","$1,985","410 N Milwaukee Ave Unit 501, Chicago, IL",1 Bed
"410 N Milwaukee Ave Unit 3804, Chicago, IL","$1,892","410 N Milwaukee Ave Unit 3804, Chicago, IL",Studio
"2153 W 18th Pl Unit 3, Chicago, IL","$1,800","2153 W 18th Pl Unit 3, Chicago, IL",2 Bed
"814 Hubbard W St Unit 201, Chicago, IL","$1,581","814 Hubbard W St Unit 201, Chicago, IL",Condo for Rent
"1247 S Plymouth Ct, Chicago, IL","$6,500","1247 S Plymouth Ct, Chicago, IL",House for Rent
"579 Kinzie W St Unit 3205, Chicago, IL","$1,725","579 Kinzie W St Unit 3205, Chicago, IL",1 Bed
"801 S State St Unit 2203, Chicago, IL","$1,990","801 S State St Unit 2203, Chicago, IL",1 Bed
"231 W 18th St Unit 4B, Chicago, IL","$1,980","231 W 18th St Unit 4B, Chicago, IL",Condo for Rent
"600 W Kinzie St Unit 2501, Chicago, IL","$1,865","600 W Kinzie St Unit 2501, Chicago, IL",1 Bed
"811 S State St Unit 1810, Chicago, IL","$2,085","811 S State St Unit 1810, Chicago, IL",2 Bed
"656 W Hubbard St Unit 2704, Chicago, IL","$1,919","656 W Hubbard St Unit 2704, Chicago, IL",Studio
"1 E 8th St Unit 802, Chicago, IL","$2,300","1 E 8th St Unit 802, Chicago, IL",Condo for Rent
"2223 W 18th Pl Unit 1R, Chicago, IL","$1,400","2223 W 18th Pl Unit 1R, Chicago, IL",2 Bed
"1402 S State St Unit A12, Chicago, IL","$1,899","1402 S State St Unit A12, Chicago, IL",1 Bed
"212 W Randolph St Unit 913, Chicago, IL","$1,579","212 W Randolph St Unit 913, Chicago, IL",Studio
"1325 S State St Unit 415, Chicago, IL","$2,180","1325 S State St Unit 415, Chicago, IL",1 Bed
"1639 Grand W Ave Unit 202, Chicago, IL","$2,675","1639 Grand W Ave Unit 202, Chicago, IL",2 Bed
"223 W Lake St Unit 2n, Chicago, IL","$4,799","223 W Lake St Unit 2n, Chicago, IL",3 Bed
"2000 S Wells St Unit 2F, Chicago, IL","$1,400","2000 S Wells St Unit 2F, Chicago, IL",Condo for Rent
"900 S Wabash Ave Unit 506, Chicago, IL","$2,000","900 S Wabash Ave Unit 506, Chicago, IL",Condo for Rent
"110 W Madison St Unit 35, Chicago, IL","$1,996","110 W Madison St Unit 35, Chicago, IL",1 Bed
"110 W Madison St Unit 35, Chicago, IL","$1,675","110 W Madison St Unit 35, Chicago, IL",Studio
"110 W Madison St Unit 35, Chicago, IL","$1,780","110 W Madison St Unit 35, Chicago, IL",Studio
"2447 Lexington W St Unit 3, Chicago, IL","$1,950","2447 Lexington W St Unit 3, Chicago, IL",3 Bed
"1530 S State St Unit 918, Chicago, IL","$2,300","1530 S State St Unit 918, Chicago, IL",Condo for Rent
"1446 N Leavitt St Unit 2R, Chicago, IL","$2,600","1446 N Leavitt St Unit 2R, Chicago, IL",4 Bed
"660 W Grand Ave Unit 3WEST, Chicago, IL","$1,900","660 W Grand Ave Unit 3WEST, Chicago, IL",Condo for Rent
"1503 S State St Unit #812, Chicago, IL","$3,500","1503 S State St Unit #812, Chicago, IL",Condo for Rent
"1464 W Ohio St Unit 2, Chicago, IL","$1,800","1464 W Ohio St Unit 2, Chicago, IL",2 Bed
"2333 W Madison St Unit 615, Chicago, IL","$2,007","2333 W Madison St Unit 615, Chicago, IL",1 Bed
"910 S Michigan Ave Unit #616, Chicago, IL","$2,500","910 S Michigan Ave Unit #616, Chicago, IL",Condo for Rent
"501 N Clinton St Unit 3006, Chicago, IL","$4,000","501 N Clinton St Unit 3006, Chicago, IL",2 Bed
"800 S Michigan Ave Unit 4104, Chicago, IL","$1,960","800 S Michigan Ave Unit 4104, Chicago, IL",1 Bed
"800 S Michigan Ave Unit 3406, Chicago, IL","$2,305","800 S Michigan Ave Unit 3406, Chicago, IL",1 Bed
"1345 S Wabash Ave Unit 1202, Chicago, IL","$2,200","1345 S Wabash Ave Unit 1202, Chicago, IL",Condo for Rent
"519 N Hartland Ct, Chicago, IL","$4,995","519 N Hartland Ct, Chicago, IL",Townhome for Rent
"500 N Kingsbury St Unit 2302, Chicago, IL","$2,199","500 N Kingsbury St Unit 2302, Chicago, IL",1 Bed
"1120 S Michigan Ave Unit 2810, Chicago, IL","$1,915","1120 S Michigan Ave Unit 2810, Chicago, IL",1 Bed
"22 S Western Ave Unit 301F, Chicago, IL","$1,900","22 S Western Ave Unit 301F, Chicago, IL",Condo for Rent
"1319 S Michigan Ave Unit 3702, Chicago, IL","$2,300","1319 S Michigan Ave Unit 3702, Chicago, IL",1 Bed
"354 W Hubbard St Unit 506, Chicago, IL","$2,302","354 W Hubbard St Unit 506, Chicago, IL",1 Bed
"354 W Hubbard St Unit 80-2, Chicago, IL","$3,887","354 W Hubbard St Unit 80-2, Chicago, IL",2 Bed
"354 W Hubbard St Unit 107, Chicago, IL","$3,416","354 W Hubbard St Unit 107, Chicago, IL",1 Bed
"50 W Randolph St Unit 706, Chicago, IL","$1,695","50 W Randolph St Unit 706, Chicago, IL",1 Bed
"2541 W Congress Pkwy Unit 1, Chicago, IL","$2,000","2541 W Congress Pkwy Unit 1, Chicago, IL",2 Bed
"669 N Peoria St Unit GS, Chicago, IL","$2,500","669 N Peoria St Unit GS, Chicago, IL",Condo for Rent
"711 N Milwaukee Ave Unit PH, Chicago, IL","$8,000","711 N Milwaukee Ave Unit PH, Chicago, IL",Condo for Rent
"310 S Michigan Ave Unit 1712, Chicago, IL","$1,750","310 S Michigan Ave Unit 1712, Chicago, IL",Condo for Rent
"2345 W Cullerton St Unit 1, Chicago, IL","$1,300","2345 W Cullerton St Unit 1, Chicago, IL",2 Bed
"317 W 23rd Pl Unit 2, Chicago, IL","$1,395","317 W 23rd Pl Unit 2, Chicago, IL",3 Bed
"680 N Peoria St, Chicago, IL","$4,300","680 N Peoria St, Chicago, IL",Townhome for Rent
"410 W Grand Ave Unit 2105, Chicago, IL","$2,772","410 W Grand Ave Unit 2105, Chicago, IL",1 Bed
"1729 W Erie St Unit 3F, Chicago, IL","$1,800","1729 W Erie St Unit 3F, Chicago, IL",Condo for Rent
"2337 W Lake St Unit 2W, Chicago, IL","$1,500","2337 W Lake St Unit 2W, Chicago, IL",Condo for Rent
"739 N Ada St Unit 105, Chicago, IL","$3,600","739 N Ada St Unit 105, Chicago, IL",2 Bed
"1641 W Huron St Unit 1R, Chicago, IL","$1,950","1641 W Huron St Unit 1R, Chicago, IL",2 Bed
"925 W Huron St Unit 507, Chicago, IL","$2,500","925 W Huron St Unit 507, Chicago, IL",Condo for Rent
"326 W Illinois St Unit 5, Chicago, IL","$2,595","326 W Illinois St Unit 5, Chicago, IL",1 Bed
"509 Orleans N St Unit 609, Chicago, IL","$3,139","509 Orleans N St Unit 609, Chicago, IL",2 Bed
"8 E Randolph St Unit 24-04, Chicago, IL","$3,300","8 E Randolph St Unit 24-04, Chicago, IL",Condo for Rent
"200 N Dearborn St Unit 2402D, Chicago, IL","$2,800","200 N Dearborn St Unit 2402D, Chicago, IL",Condo for Rent
"60 E Monroe St Unit 1704, Chicago, IL","$3,600","60 E Monroe St Unit 1704, Chicago, IL",Condo for Rent
"60 E Monroe St Unit 5205, Chicago, IL","$3,400","60 E Monroe St Unit 5205, Chicago, IL",Condo for Rent
"323 W Illinois St Unit 21-S, Chicago, IL","$1,710","323 W Illinois St Unit 21-S, Chicago, IL",Studio
"323 W Illinois St Unit 2102, Chicago, IL","$2,095","323 W Illinois St Unit 2102, Chicago, IL",1 Bed
"2316 Leavitt S St Unit 2, Chicago, IL","$1,350","2316 Leavitt S St Unit 2, Chicago, IL",3 Bed
"316 N Clark St Unit 1902, Chicago, IL","$2,388","316 N Clark St Unit 1902, Chicago, IL",1 Bed
"2015 W Race Ave Unit 2SE, Chicago, IL","$4,750","2015 W Race Ave Unit 2SE, Chicago, IL",2 Bed
"2001 S State St Unit 3B, Chicago, IL","$1,895","2001 S State St Unit 3B, Chicago, IL",Condo for Rent
"2046 W Grand Ave. Unit 2R, Chicago, IL","$1,500","2046 W Grand Ave. Unit 2R, Chicago, IL",Studio
"1936 W Ohio St Unit #1, Chicago, IL","$1,700","1936 W Ohio St Unit #1, Chicago, IL",2 Bed
"1936 W Ohio St Unit 2, Chicago, IL","$1,500","1936 W Ohio St Unit 2, Chicago, IL",2 Bed
"440 Ontario W St Unit 8, Chicago, IL","$2,341","440 Ontario W St Unit 8, Chicago, IL",1 Bed
"1899 S Wabash Ave Unit 2s, Chicago, IL","$2,260","1899 S Wabash Ave Unit 2s, Chicago, IL",2 Bed
"536 W Erie St Unit 1902, Chicago, IL","$4,679","536 W Erie St Unit 1902, Chicago, IL",3 Bed
"536 W Erie St Unit 803, Chicago, IL","$2,177","536 W Erie St Unit 803, Chicago, IL",1 Bed
"536 W Erie St Unit 803, Chicago, IL","$2,117","536 W Erie St Unit 803, Chicago, IL",1 Bed
